PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Selvaraj, K; Mohan, VR; Jonathan, MP; Srinivasalu, S				Selvaraj, K; Mohan, VR; Jonathan, MP; Srinivasalu, S			Modification of a coastal environment: V0edaranniyam wetland, southeast coast of India	JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA																S, Srinivasalu/I-4481-2013													0016-7622					NOV	2005	66	5					535	538										WOS:000234351400002						
J	Rosser, NJ; Petley, DN; Lim, M; Dunning, SA; Allison, RJ				Rosser, NJ; Petley, DN; Lim, M; Dunning, SA; Allison, RJ			Terrestrial laser scanning for monitoring the process of hard rock coastal cliff erosion	QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY																Dunning, Stuart/A-1820-2010; Rosser, Nick/N-3703-2017	Dunning, Stuart/0000-0002-2310-7367; Rosser, Nick/0000-0002-1435-2512												1470-9236					NOV	2005	38		4				363	375		10.1144/1470-9236/05-008								WOS:000233345900004						
J	Winterbottom, SJ; Dawson, T				Winterbottom, SJ; Dawson, T			Airborne multi-spectral prospection for buried archaeology in mobile sand dominated systems	ARCHAEOLOGICAL PROSPECTION																													1075-2196					OCT-DEC	2005	12	4					205	219		10.1002/arp.258								WOS:000234002600001						
J	Yamada, K; Ishizaka, J; Nagata, H				Yamada, K; Ishizaka, J; Nagata, H			Spatial and temporal variability of satellite primary production in the Japan Sea from 1998 to 2002	JOURNAL OF OCEANOGRAPHY																	Ishizaka, Joji/0000-0003-0398-1572												0916-8370					OCT	2005	61	5					857	869		10.1007/s10872-006-0005-2								WOS:000231497600005						
J	Hinkel, KM; Frohn, RC; Nelson, FE; Eisner, WR; Beck, RA				Hinkel, KM; Frohn, RC; Nelson, FE; Eisner, WR; Beck, RA			Morphometric and spatial analysis of thaw lakes and drained thaw lake basins in the western Arctic Coastal Plain, Alaska	PERMAFROST AND PERIGLACIAL PROCESSES																													1045-6740					OCT-DEC	2005	16	4					327	341		10.1002/ppp.532								WOS:000234518900003						
J	Iampietro, PJ; Kvitek, RG; Morris, E				Iampietro, PJ; Kvitek, RG; Morris, E			Recent advances in automated genus-specific marine habitat mapping enabled by high-resolution multibeam bathymetry	MARINE TECHNOLOGY SOCIETY JOURNAL																													0025-3324					FAL	2005	39	3					83	93		10.4031/002533205787442495								WOS:000233660600009						
J	Hulbe, CL; Johnston, R; Joughin, I; Scambos, T				Hulbe, CL; Johnston, R; Joughin, I; Scambos, T			Marine ice modification of fringing ice shelf flow	ARCTIC ANTARCTIC AND ALPINE RESEARCH																Scambos, Ted/B-1856-2009; Joughin, Ian/A-2998-2008	Joughin, Ian/0000-0001-6229-679X												1523-0430					AUG	2005	37	3					323	330		10.1657/1523-0430(2005)037[0323:MIMOFI]2.0.CO;2								WOS:000231886800007						
J	Frohn, RC; Hinkel, KM; Eisner, WR				Frohn, RC; Hinkel, KM; Eisner, WR			Satellite remote sensing classification of thaw lakes and drained thaw lake basins on the North Slope of Alaska	REMOTE SENSING OF ENVIRONMENT																													0034-4257					JUL 15	2005	97	1					116	126		10.1016/j.rse.2005.04.022								WOS:000231204600009						
J	Wang, MH; Shi, W				Wang, MH; Shi, W			Estimation of ocean contribution at the MODIS near-infrared wavelengths along the east coast of the US: Two case studies	GEOPHYSICAL RESEARCH LETTERS																Shi, Wei/F-5625-2010; Wang, Menghua/F-5631-2010	Wang, Menghua/0000-0001-7019-3125												0094-8276	1944-8007				JUL 13	2005	32	13							L13606	10.1029/2005GL022917								WOS:000230833300001						
J	Saillard, M; Forget, P; Soriano, G; Joelson, M; Broche, P; Currier, P				Saillard, M; Forget, P; Soriano, G; Joelson, M; Broche, P; Currier, P			Sea surface probing with L-band Doppler radar: experiment and theory	COMPTES RENDUS PHYSIQUE																													1631-0705					JUL-AUG	2005	6	6					675	682		10.1016/j.crhy.2005.06.008								WOS:000232542800011						
