PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Rao, NS; Ali, MM; Rao, MV; Ramana, IV				Rao, NS; Ali, MM; Rao, MV; Ramana, IV			Estimation of ship velocities from MODIS and OCM	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS																	, Ali/0000-0002-3821-6099												1545-598X					OCT	2005	2	4					437	439		10.1109/LGRS.2005.853572								WOS:000232897100014						
J	Wang, MH; Shi, W				Wang, MH; Shi, W			Estimation of ocean contribution at the MODIS near-infrared wavelengths along the east coast of the US: Two case studies	GEOPHYSICAL RESEARCH LETTERS																Shi, Wei/F-5625-2010; Wang, Menghua/F-5631-2010	Wang, Menghua/0000-0001-7019-3125												0094-8276	1944-8007				JUL 13	2005	32	13							L13606	10.1029/2005GL022917								WOS:000230833300001						
J	Castanho, ADD; Martins, JV; Hobbs, PV; Artaxo, P; Remer, L; Yamasoe, M; Colarco, PR				Castanho, ADD; Martins, JV; Hobbs, PV; Artaxo, P; Remer, L; Yamasoe, M; Colarco, PR			Chemical characterization of aerosols on the east coast of the United States using aircraft and ground-based stations during the CLAMS experiment	JOURNAL OF THE ATMOSPHERIC SCIENCES																Colarco, Peter/D-8637-2012; Yamasoe, Marcia/L-3667-2013; Institute of Physics, USP/H-5191-2017; Artaxo, Paulo/E-8874-2010	Colarco, Peter/0000-0003-3525-1662; Yamasoe, Marcia/0000-0003-3066-9146; Artaxo, Paulo/0000-0001-7754-3036												0022-4928					APR	2005	62	4					934	946		10.1175/JAS3388.1								WOS:000228525000004						
J	Levy, RC; Remer, LA; Martins, JV; Kaufman, YJ; Plana-Fattori, A; Redemann, J; Wenny, B				Levy, RC; Remer, LA; Martins, JV; Kaufman, YJ; Plana-Fattori, A; Redemann, J; Wenny, B			Evaluation of the MODIS aerosol retrievals over ocean and land during CLAMS	JOURNAL OF THE ATMOSPHERIC SCIENCES																Levy, Robert/M-7764-2013	Levy, Robert/0000-0002-8933-5303												0022-4928	1520-0469				APR	2005	62	4					974	992		10.1175/JAS3391.1								WOS:000228525000006						
J	Redemann, J; Schmid, B; Eilers, JA; Kahn, R; Levy, RC; Russell, PB; Livingston, JM; Hobbs, PV; Smith, WL; Holben, BN				Redemann, J; Schmid, B; Eilers, JA; Kahn, R; Levy, RC; Russell, PB; Livingston, JM; Hobbs, PV; Smith, WL; Holben, BN			Suborbital measurements of spectral aerosol optical depth and its variability at subsatellite grid scales in support of CLAMS 2001	JOURNAL OF THE ATMOSPHERIC SCIENCES																Kahn, Ralph/D-5371-2012; Levy, Robert/M-7764-2013	Kahn, Ralph/0000-0002-5234-6359; Levy, Robert/0000-0002-8933-5303												0022-4928	1520-0469				APR	2005	62	4					993	1007		10.1175/JAS3387.1								WOS:000228525000007						
J	Jeong, MJ; Li, ZQ; Chu, DA; Tsay, SC				Jeong, MJ; Li, ZQ; Chu, DA; Tsay, SC			Quality and compatibility analyses of global aerosol products derived from the advanced very high resolution radiometer and Moderate Resolution Imaging Spectroradiometer	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Jeong, Myeong/B-8803-2008; Li, Zhanqing/F-4424-2010; Tsay, Si-Chee/J-1147-2014	Li, Zhanqing/0000-0001-6737-382X; 												2169-897X	2169-8996				MAR 1	2005	110	D10							D10S09	10.1029/2004JD004648								WOS:000227551000001						
J	Vant-Hull, B; Li, ZQ; Taubman, BF; Levy, R; Marufu, L; Chang, FL; Doddridge, BG; Dickerson, RR				Vant-Hull, B; Li, ZQ; Taubman, BF; Levy, R; Marufu, L; Chang, FL; Doddridge, BG; Dickerson, RR			Smoke over haze: Comparative analysis of satellite, surface radiometer, and airborne in situ measurements of aerosol optical properties and radiative forcing over the eastern United States	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Li, Zhanqing/F-4424-2010; Levy, Robert/M-7764-2013; Dickerson, Russell/F-2857-2010	Li, Zhanqing/0000-0001-6737-382X; Levy, Robert/0000-0002-8933-5303; Dickerson, Russell/0000-0003-0206-3083												2169-897X					FEB 23	2005	110	D10							D10S21	10.1029/2004JD004518								WOS:000227526600002						
J	Gautam, R; Singh, RP; Kafatos, M				Gautam, R; Singh, RP; Kafatos, M			Changes in ocean properties associated with Hurricane Isabel	INTERNATIONAL JOURNAL OF REMOTE SENSING																Singh, Ramesh/G-7240-2012; Gautam, Ritesh/E-9776-2010	Gautam, Ritesh/0000-0002-2177-9346												0143-1161					FEB 10	2005	26	3					643	649		10.1080/01431160412331299226								WOS:000226835700016						
J	Huot, Y; Brown, CA; Cullen, JJ				Huot, Y; Brown, CA; Cullen, JJ			New algorithms for MODIS sun-induced chlorophyll fluorescence and a comparison with present data products	LIMNOLOGY AND OCEANOGRAPHY-METHODS																Huot, Yannick/B-4497-2008; Cullen, John/B-6105-2008	Huot, Yannick/0000-0003-1793-761X; Cullen, John/0000-0002-7740-0999												1541-5856					FEB	2005	3						108	130		10.4319/lom.2005.3.108								WOS:000227471300007						
J	Darmenova, K; Sokolik, IN; Darmenov, A				Darmenova, K; Sokolik, IN; Darmenov, A			Characterization of east Asian dust outbreaks in the spring of 2001 using ground-based and satellite data	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Darmenov, Anton/H-8267-2013													2169-897X	2169-8996				JAN 25	2005	110	D2							D02204	10.1029/2004JD004842								WOS:000226684000002						
