PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Polovina, JJ; Howell, E; Kobayashi, DR; Seki, MP				Polovina, JJ; Howell, E; Kobayashi, DR; Seki, MP			The transition zone chlorophyll front, a dynamic global feature defining migration and forage habitat for marine resources	PROGRESS IN OCEANOGRAPHY					Conference on Beyond El Nino	MAR, 2000	LA JOLLA, CALIFORNIA										Howell, Evan/0000-0001-9904-4633												0079-6611						2001	49	1-4			SI		469	483		10.1016/S0079-6611(01)00036-2								WOS:000171261600025						
J	Winstead, NS; Schaaf, RM; Mourad, PD				Winstead, NS; Schaaf, RM; Mourad, PD			Synthetic aperture radar observations of the surface signatures of cold-season bands over the Great Lakes	WEATHER AND FORECASTING																													0882-8156	1520-0434					2001	16	3					315	328		10.1175/1520-0434(2001)016<0315:SAROOT>2.0.CO;2								WOS:000169160000003						
J	Culik, B				Culik, B			Finding food in the open ocean: foraging strategies in Humboldt penguins	ZOOLOGY-ANALYSIS OF COMPLEX SYSTEMS					94th Annual Meeting of the German-Zoological-Society	JUN 04-08, 2001	UNIV OSNABRUCK, OSNABRUCK, GERMANY	German Zoolog Soc	UNIV OSNABRUCK																				0944-2006						2001	104	3-4					327	338		10.1078/0944-2006-00038								WOS:000174431600018	16351847					
J	Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S				Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S			Development of a spilled-oil sensor and field observation on board a ship	BUNSEKI KAGAKU																													0525-1931					DEC	2000	49	12					1009	1014		10.2116/bunsekikagaku.49.1009								WOS:000166001300012						
J	Falk-Petersen, S; Hop, H; Budgell, WP; Hegseth, EN; Korsnes, R; Loyning, TB; Orbaek, JB; Kawamura, T; Shirasawa, K				Falk-Petersen, S; Hop, H; Budgell, WP; Hegseth, EN; Korsnes, R; Loyning, TB; Orbaek, JB; Kawamura, T; Shirasawa, K			Physical and ecological processes in the marginal ice zone of the northern Barents Sea during the summer melt period	JOURNAL OF MARINE SYSTEMS					30th International Liege Colloquium on Ocean Hydrodynamics	MAY 04-08, 1998	LIEGE, BELGIUM																						0924-7963					DEC	2000	27	1-3					131	159		10.1016/S0924-7963(00)00064-6								WOS:000165666700007						
J	Varadan, VK; Varadan, VV				Varadan, VK; Varadan, VV			Microsensors, microelectromechanical systems (MEMS), and electronics for smart structures and systems	SMART MATERIALS AND STRUCTURES																													0964-1726	1361-665X				DEC	2000	9	6					953	972		10.1088/0964-1726/9/6/327								WOS:000166144200027						
J	Volckaert, FAM; Kayens, G; Schallier, R; Jacques, TG				Volckaert, FAM; Kayens, G; Schallier, R; Jacques, TG			Aerial surveillance of operational oil pollution in Belgium's Maritime Zone of Interest	MARINE POLLUTION BULLETIN																													0025-326X	1879-3363				NOV	2000	40	11					1051	1056		10.1016/S0025-326X(00)00056-4								WOS:000165776300031						
J	Platnick, S				Platnick, S			Vertical photon transport in cloud remote sensing problems	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Platnick, Steven/J-9982-2014	Platnick, Steven/0000-0003-3964-3567												2169-897X	2169-8996				SEP 27	2000	105	D18					22919	22935		10.1029/2000JD900333								WOS:000089598000018						
J	Summers, K; Robertson, A; Levinson, B				Summers, K; Robertson, A; Levinson, B			Development of the coastal intensive site network (CISNET)	ENVIRONMENTAL MONITORING AND ASSESSMENT					4th Symposium on the Environmental Monitoring and Assessment Program (EMAP)	APR 06-08, 1999	SAN FRANCISCO, CALIFORNIA																						0167-6369					SEP	2000	64	1					379	390		10.1023/A:1006455505015								WOS:000089244600029						
J	Miao, JG; Johnsen, KP; Kern, S; Heygster, G; Kunzi, K				Miao, JG; Johnsen, KP; Kern, S; Heygster, G; Kunzi, K			Signature of clouds over Antarctic sea ice detected by the special sensor microwave/imager	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					International Geoscience and Remote Sensing Symposium (IGARSS 99)	JUN 28-JUL 02, 1999	HAMBURG, GERMANY										Heygster, Georg/0000-0003-2232-7429												0196-2892					SEP	2000	38	5	1				2333	2344		10.1109/36.868890								WOS:000089510300025						
