PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Antoine, D; d'Ortenzio, F; Hooker, SB; Becu, G; Gentili, B; Tailliez, D; Scott, AJ				Antoine, David; d'Ortenzio, Fabrizio; Hooker, Stanford B.; Becu, Guislain; Gentili, Bernard; Tailliez, Dominique; Scott, Alec J.			Assessment of uncertainty in the ocean reflectance determined by three satellite ocean color sensors (MERIS, SeaWiFS and MODIS-A) at an offshore site in the Mediterranean Sea (BOUSSOLE project)	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Hooker, Stanford/E-2162-2012; Biblio, LOV/K-9251-2017; Antoine, David/C-3817-2013	Antoine, David/0000-0002-9082-2395												0148-0227					JUL 11	2008	113	C7							C07013	10.1029/2007JC004472								WOS:000257746000001						
J	[Anonymous]				[Anonymous]			Influence of circulation parameters on the AOD variations over the Bay of Bengal during ICARB	JOURNAL OF EARTH SYSTEM SCIENCE																													0253-4126					JUL	2008	117				1		353	360										WOS:000258534800012						
J	Mishra, AK; Dadhwal, VK; Dutt, CBS				Mishra, A. K.; Dadhwal, V. K.; Dutt, C. B. S.			Analysis of marine aerosol optical depth retrieved from IRS-P4 OCM sensor and comparison with the aerosol derived from SeaWiFS and MODIS sensor	JOURNAL OF EARTH SYSTEM SCIENCE																	Dadhwal, Vinay/0000-0001-5084-1367												0253-4126					JUL	2008	117				1		361	373		10.1007/s12040-008-0039-5								WOS:000258534800013						
J	Radi, T; de Vernal, A				Radi, Taoufik; de Vernal, Anne			Dinocysts as proxy of primary productivity in mid-high latitudes of the Northern Hemisphere	MARINE MICROPALEONTOLOGY																de Vernal, Anne/D-5602-2013	de Vernal, Anne/0000-0001-5656-724X												0377-8398	1872-6186				JUL	2008	68	1-2					84	114		10.1016/j.marmicro.2008.01.012								WOS:000259053700006						
J	Wood, R; Comstock, KK; Bretherton, CS; Cornish, C; Tomlinson, J; Collins, DR; Fairall, C				Wood, R.; Comstock, K. K.; Bretherton, C. S.; Cornish, C.; Tomlinson, J.; Collins, D. R.; Fairall, C.			Open cellular structure in marine stratocumulus sheets	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Tomlinson, Jason/C-6566-2009; Collins, Don/F-9617-2012; Wood, Robert/A-2989-2008	Wood, Robert/0000-0002-1401-3828												2169-897X					JUN 25	2008	113	D12							D12207	10.1029/2007JD009371								WOS:000257309700004						
J	Schaeffer, BA; Morrison, JM; Kamykowski, D; Feldman, GC; Xie, L; Liu, YY; Sweet, W; McCulloch, A; Banks, S				Schaeffer, Blake A.; Morrison, John M.; Kamykowski, Daniel; Feldman, Gene C.; Xie, Lian; Liu, Yanyun; Sweet, William; McCulloch, Anita; Banks, Stuart			Phytoplankton biomass distribution and identification of productive habitats within the Galapagos Marine Reserve by MODIS, a surface acquisition system, and in-situ measurements	REMOTE SENSING OF ENVIRONMENT																Liu, Yanyun/A-5785-2011; McCulloch, Anita/E-4685-2010	Liu, Yanyun/0000-0002-9754-6370; 												0034-4257					JUN 16	2008	112	6					3044	3054		10.1016/j.rse.2008.03.005								WOS:000256986400025						
J	Li, XF; Zheng, WZ; Zou, CZ; Pichel, WG				Li, Xiaofeng; Zheng, Weizhong; Zou, Cheng-Zhi; Pichel, William G.			A SAR observation and numerical study on ocean surface imprints of Atmospheric Vortex Streets	SENSORS																Li, Xiaofeng/B-6524-2008; Pichel, William/F-5619-2010; Zou, Cheng-Zhi/E-3085-2010	Li, Xiaofeng/0000-0001-7038-5119; Pichel, William/0000-0001-6332-0149; 												1424-8220					MAY	2008	8	5					3321	3334		10.3390/s8053321								WOS:000257248800024	27879880					
J	Gasso, S				Gasso, Santiago			Satellite observations of the impact of weak volcanic activity on marine clouds	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Gasso, Santiago/H-9571-2014	Gasso, Santiago/0000-0002-6872-0018												2169-897X					APR 1	2008	113	D14							D14S19	10.1029/2007JD009106								WOS:000254717200001						
J	LaCasse, KM; Splitt, ME; Lazarus, SM; Lapenta, WM				LaCasse, Katherine M.; Splitt, Michael E.; Lazarus, Steven M.; Lapenta, William M.			The impact of high-resolution sea surface temperatures on the simulated nocturnal Florida marine boundary layer	MONTHLY WEATHER REVIEW																	Lazarus, Steven/0000-0002-5918-1059; Splitt, Michael/0000-0002-7690-5100												0027-0644					APR	2008	136	4					1349	1372		10.1175/2007MWR2167.1								WOS:000255352200006						
J	Barocio-Leon, OA; Millan-Nunez, R; Santamaria-del-Angel, E; Gonzalez-Silvera, A; Trees, CC; Orellana-Cepeda, E				Barocio-Leon, Oscar A.; Millan-Nunez, Roberto; Santamaria-del-Angel, Eduardo; Gonzalez-Silvera, Adriana; Trees, Charles C.; Orellana-Cepeda, Elizabeth			Bio-optical characteristics of a phytoplankton bloom event off Baja California Peninsula (30-31 degrees N)	CONTINENTAL SHELF RESEARCH																	Barocio Leon, Oscar Alcides/0000-0003-1433-2164; Gonzalez-Silvera, Adriana/0000-0001-7817-5343; Santamaria-del-Angel, Eduardo/0000-0002-1882-7714												0278-4343					MAR 30	2008	28	4-5					672	681		10.1016/j.csr.2007.12.002								WOS:000255231600013						
J	Yuan, TL; Li, ZQ; Zhang, RY; Fan, JW				Yuan, Tianle; Li, Zhanqing; Zhang, Renyi; Fan, Jiwen			Increase of cloud droplet size with aerosol optical depth: An observation and modeling study	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Fan, Jiwen/E-9138-2011; Li, Zhanqing/F-4424-2010; Yuan, Tianle/D-3323-2011; Zhang, Renyi/A-2942-2011	Li, Zhanqing/0000-0001-6737-382X; 												2169-897X	2169-8996				FEB 21	2008	113	D4							D04201	10.1029/2007JD008632								WOS:000253531600001						
J	Feng, H; Vandemark, D; Campbell, JW; Holben, BN				Feng, H.; Vandemark, D.; Campbell, J. W.; Holben, B. N.			Evaluation of MODIS ocean colour products at a northeast United States coast site near the Martha's Vineyard Coastal Observatory	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161						2008	29	15					4479	4497		10.1080/01431160801918599								WOS:000258457200009						
J	Yu, H; Fu, R; Dickinson, RE; Zhang, Y; Chen, M; Wang, H				Yu, Hongbin; Fu, Rong; Dickinson, Robert E.; Zhang, Yan; Chen, Mingxuan; Wang, Hul.			Interannual variability of smoke and warm cloud relationships in the Amazon as inferred from MODIS retrievals	REMOTE SENSING OF ENVIRONMENT																Fu, Rong/B-4922-2011; Zhang, Yan/C-4792-2012; Wang, Hui/B-6516-2008; Yu, Hongbin/C-6485-2008	Fu, Rong/0000-0002-4065-248X; Yu, Hongbin/0000-0003-4706-1575												0034-4257	1879-0704				DEC 28	2007	111	4					435	449		10.1016/j.rse.2007.04.003								WOS:000251099300003						
J	Matsuoka, A; Huot, Y; Shimada, K; Saitoh, SI; Babin, M				Matsuoka, Atsushi; Huot, Yannick; Shimada, Koji; Saitoh, Sei-Ichi; Babin, Marcel			Bio-optical characteristics of the western Arctic Ocean: implications for ocean color algorithms	CANADIAN JOURNAL OF REMOTE SENSING																Biblio, LOV/K-9251-2017; Huot, Yannick/B-4497-2008; SHIMADA, Koji/O-1913-2014	Huot, Yannick/0000-0003-1793-761X; 												0703-8992	1712-7971				DEC	2007	33	6					503	518		10.5589/m07-059								WOS:000256135700005						
J	Segrin, MS; Coakley, JA; Tahnk, WR				Segrin, Matthew S.; Coakley, James A., Jr.; Tahnk, William R.			MODIS observations of ship tracks in summertime stratus off the west coast of the United States	JOURNAL OF THE ATMOSPHERIC SCIENCES																													0022-4928					DEC	2007	64	12					4330	4345		10.1175/2007JAS2308.1								WOS:000251896400009						
J	Jones, TA; Christopher, SA				Jones, Thomas A.; Christopher, Sundar A.			MODIS derived fine mode fraction characteristics of marine, dust, and anthropogenic aerosols over the ocean, constrained by GOCART, MOPITT, and TOMS	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Christopher, Sundar/E-6781-2011													2169-897X	2169-8996				NOV 29	2007	112	D22							D22204	10.1029/2007JD008974								WOS:000251346100003						
J	Horvath, A; Gentemann, C				Horvath, Akos; Gentemann, Chelle			Cloud-fraction-dependent bias in satellite liquid water path retrievals of shallow, non-precipitating marine clouds	GEOPHYSICAL RESEARCH LETTERS																Horvath, Akos/A-2453-2008	Horvath, Akos/0000-0002-5860-2368												0094-8276					NOV 20	2007	34	22							L22806	10.1029/2007GL030625								WOS:000251257000001						
J	Warrick, JA; DiGiacomo, PM; Weisberg, SB; Nezlin, NP; Mengel, M; Jones, BH; Ohlmann, JC; Washburn, L; Terrill, EJ; Farnsworth, KL				Warrick, J. A.; DiGiacomo, P. M.; Weisberg, S. B.; Nezlin, N. P.; Mengel, M.; Jones, B. H.; Ohlmann, J. C.; Washburn, L.; Terrill, E. J.; Farnsworth, K. L.			River plume patterns and dynamics within the Southern California Bight	CONTINENTAL SHELF RESEARCH																DiGiacomo, Paul/F-5584-2010; Liu, Cheng-Chien/E-4859-2011; Weisberg, Stephen/B-2477-2008	DiGiacomo, Paul/0000-0003-4550-1899; Weisberg, Stephen/0000-0002-0655-9425												0278-4343	1873-6955				NOV 15	2007	27	19					2427	2448		10.1016/j.csr.2007.06.015								WOS:000251475000002						
J	Morel, A; Huot, Y; Gentili, B; Werdell, PJ; Hooker, SB; Franz, BA				Morel, Andre; Huot, Yannick; Gentili, Bernard; Werdell, P. Jeremy; Hooker, Stanford B.; Franz, Bryan A.			Examining the consistency of products derived from various ocean color sensors in open ocean (Case 1) waters in the perspective of a multi-sensor approach	REMOTE SENSING OF ENVIRONMENT																Hooker, Stanford/E-2162-2012; Franz, Bryan/D-6284-2012; Werdell, Jeremy/D-8265-2012; Biblio, LOV/K-9251-2017; Huot, Yannick/B-4497-2008	Franz, Bryan/0000-0003-0293-2082; Huot, Yannick/0000-0003-1793-761X												0034-4257					NOV 15	2007	111	1					69	88		10.1016/j.rse.2007.03.012								WOS:000250243500006						
J	Melin, F; Zibordi, G; Berthon, JF				Melin, Ferderic; Zibordi, Giuseppe; Berthon, Jean-Francois			Assessment of satellite ocean color products at a coastal site	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				SEP 28	2007	110	2					192	215		10.1016/j.rse.2007.02.026								WOS:000249161200006						
J	Osborne, SR; Haywood, JM; Bellouin, N				Osborne, S. R.; Haywood, J. M.; Bellouin, N.			In situ and remote-sensing measurements of the mean microphysical and optical properties of industrial pollution aerosol during ADRIEX	QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY																	Bellouin, Nicolas/0000-0003-2109-9559												0035-9009	1477-870X				JUL	2007	133			1			17	32		10.1002/qj.92								WOS:000250824200003						
J	Spurr, R; Stamnes, K; Eide, H; Li, W; Zhang, KX; Stamnes, J				Spurr, Robert; Stamnes, Knut; Eide, Hans; Li, Wei; Zhang, Kexin; Stamnes, Jakob			Simultaneous retrieval of aerosols and ocean properties: A classic inverse modeling approach. I. Analytic Jacobians from the linearized CAO-DISORT model	JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER																Zhang, Kexin/V-1476-2017													0022-4073					APR	2007	104	3					428	449		10.1016/j.jqrst.2006.09.009								WOS:000244405400009						
J	Bennartz, R				Bennartz, R.			Global assessment of marine boundary layer cloud droplet number concentration from satellite	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Bennartz, Ralf/F-3760-2010													2169-897X					JAN 18	2007	112	D2							D02201	10.1029/2006JD007547								WOS:000243849400004						
J	Kusmierczyk-Michulec, J; de Leeuw, G; Moerman, MM				Kusmierczyk-Michulec, J.; de Leeuw, G.; Moerman, M. M.			Physical and optical aerosol properties at the Dutch North Sea coast based on AERONET observations	ATMOSPHERIC CHEMISTRY AND PHYSICS																													1680-7316	1680-7324					2007	7	13					3481	3495		10.5194/acp-7-3481-2007								WOS:000248733000007						
J	Tan, CK; Ishizaka, J; Manda, A; Siswanto, E; Tripathy, SC				Tan, C. K.; Ishizaka, J.; Manda, A.; Siswanto, E.; Tripathy, S. C.			Assessing post-tsunami effects on ocean colour at eastern Indian Ocean using MODIS Aqua satellite	INTERNATIONAL JOURNAL OF REMOTE SENSING																	Tripathy, Sarat Chandra/0000-0002-2437-8660; Ishizaka, Joji/0000-0003-0398-1572; Siswanto, Eko/0000-0002-8215-0082												0143-1161						2007	28	13-14					3055	3069		10.1080/01431160601091787								WOS:000247469000013						
J	Zhang, KX; Li, W; Eide, H; Stamnes, K				Zhang, Kexin; Li, Wei; Eide, Hans; Stamnes, Knut			A bio-optical model suitable for use in forward and inverse coupled atmosphere-ocean radiative transfer models	JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER																Zhang, Kexin/V-1476-2017													0022-4073					JAN	2007	103	2					411	423		10.1016/j.jqsrt.2006.08.009								WOS:000241979800016						
J	Heide-Jorgensen, MP; Laidre, KL; Logsdon, ML; Nielsen, TG				Heide-Jorgensen, M. P.; Laidre, K. L.; Logsdon, M. L.; Nielsen, T. G.			Springtime coupling between chlorophyll a, sea ice and sea surface temperature in Disko Bay, West Greenland	PROGRESS IN OCEANOGRAPHY																													0079-6611						2007	73	1					79	95		10.1016/j.pocean.2007.01.006								WOS:000248435300004						
J	Gower, J; Hu, CM; Borstad, G; King, S				Gower, Jim; Hu, Chuanmin; Borstad, Gary; King, Stephanie			Ocean color satellites show extensive lines of floating sargassum in the Gulf of Mexico	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																hu, chuanmin/J-5021-2012													0196-2892	1558-0644				DEC	2006	44	12					3619	3625		10.1109/TGRS.2006.882258								WOS:000242390700015						
J	Sierau, B; Covert, DS; Coffman, DJ; Quinn, PK; Bates, TS				Sierau, Berko; Covert, David S.; Coffman, Derek J.; Quinn, Patricia K.; Bates, Timothy S.			Aerosol optical properties during the 2004 New England Air Quality Study - Intercontinental Transport and Chemical Transformation: Gulf of Maine surface measurements - Regional and case studies	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Quinn, Patricia/R-1493-2016; Bates, Timothy/L-6080-2016	Quinn, Patricia/0000-0003-0337-4895; 												2169-897X					NOV 30	2006	111	D23							D23S37	10.1029/2006JD007568								WOS:000242741400001						
J	Boers, R; Acarreta, JR; Gras, JL				Boers, Reinout; Acarreta, Juan R.; Gras, John L.			Satellite monitoring of the first indirect aerosol effect: Retrieval of the droplet concentration of water clouds	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					NOV 18	2006	111	D22							D22208	10.1029/2005JD006838								WOS:000242176200005						
J	van Lipzig, NPM; Schroder, M; Crewell, S; Ament, F; Chaboureau, JP; Lohnert, U; Matthias, V; van Meijgaard, E; Quante, M; Willen, U; Yen, WC				van Lipzig, Nicole P. M.; Schroeder, Marc; Crewell, Susanne; Ament, Felix; Chaboureau, Jean-Pierre; Loehnert, Ulrich; Matthias, Volker; van Meijgaard, Erik; Quante, Markus; Willen, Ulrika; Yen, Wenchieh			Model predicted low-level cloud parameters - Part I: Comparison with observations from the BALTEX Bridge Campaigns	ATMOSPHERIC RESEARCH					14th International Conference on Clouds and Precipitation	JUL 19-23, 2004	Inst Atmospher Sci & Climate, Bologna, ITALY	Int Assoc Meterol & Atkmospher Sci, Int Commiss Clouds & Precipitat, Int Union Geodesy & Geophy	Inst Atmospher Sci & Climate							Lohnert, Ulrich/C-3303-2013; Crewell, Susanne/O-1640-2013	Lohnert, Ulrich/0000-0002-9023-0269; Crewell, Susanne/0000-0003-1251-5805												0169-8095					NOV	2006	82	1-2			SI		55	82		10.1016/j.atmosres.2006.01.010								WOS:000241887800006						
J	Pottier, C; Garcon, V; Larnicol, G; Sudre, J; Schaeffer, P; Le Traon, PY				Pottier, Claire; Garcon, Veronique; Larnicol, Gilles; Sudre, Joel; Schaeffer, Philippe; Le Traon, Pierre-Yves			Merging SeaWiFS and MODIS/Aqua ocean color data in North and Equatorial Atlantic using weighted averaging and objective analysis	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892	1558-0644				NOV	2006	44	11	2				3436	3451		10.1109/TGRS.2006.878441								WOS:000241933600022						
J	Schreier, M; Kokhanovsky, AA; Eyring, V; Bugliaro, L; Mannstein, H; Mayer, B; Bovensmann, H; Burrows, JP				Schreier, M.; Kokhanovsky, A. A.; Eyring, V.; Bugliaro, L.; Mannstein, H.; Mayer, B.; Bovensmann, H.; Burrows, J. P.			Impact of ship emissions on the microphysical, optical and radiative properties of marine stratus: a case study	ATMOSPHERIC CHEMISTRY AND PHYSICS																Mayer, Bernhard/B-3397-2011; Bugliaro, Luca/C-9579-2016; Bovensmann, Heinrich/P-4135-2016; Kokhanovsky, Alexander/C-6234-2016; Eyring, Veronika/O-9999-2016	Mayer, Bernhard/0000-0002-3358-0190; Bugliaro, Luca/0000-0003-4793-0101; Bovensmann, Heinrich/0000-0001-8882-4108; Kokhanovsky, Alexander/0000-0001-7370-1164; Eyring, Veronika/0000-0002-6887-4885; Burrows, John Philip/0000-0002-6821-5580												1680-7316	1680-7324				OCT 30	2006	6						4925	4942		10.5194/acp-6-4925-2006								WOS:000241643600004						
J	Kotchenova, SY; Vermote, EF; Matarrese, R; Klemm, FJ				Kotchenova, Svetlana Y.; Vermote, Eric F.; Matarrese, Raffaella; Klemm, Frank J., Jr.			Validation of a vector version of the 6S radiative transfer code for atmospheric correction of satellite data. Part I: Path radiance	APPLIED OPTICS																Matarrese, Raffaella/D-5174-2016; Vermote, Eric/K-3733-2012	Matarrese, Raffaella/0000-0002-3923-9639; 												1559-128X	2155-3165				SEP 10	2006	45	26					6762	6774		10.1364/AO.45.006762								WOS:000240355100017	16926910					
J	Matsui, T; Masunaga, H; Kreidenweis, SM; Pielke, RA; Tao, WK; Chin, M; Kaufman, YJ				Matsui, Toshihisa; Masunaga, Hirohiko; Kreidenweis, Sonia M.; Pielke, Roger A., Sr.; Tao, Wei-Kuo; Chin, Mian; Kaufman, Yoram J.			Satellite-based assessment of marine low cloud variability associated with aerosol, atmospheric stability, and the diurnal cycle	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Pielke, Roger/A-5015-2009; Chin, Mian/J-8354-2012; Masunaga, Hirohiko/C-2488-2008; PMM, JAXA/K-8537-2016; Kreidenweis, Sonia/E-5993-2011	Masunaga, Hirohiko/0000-0002-6336-5002; Kreidenweis, Sonia/0000-0002-2561-2914												2169-897X	2169-8996				SEP 9	2006	111	D17							D17204	10.1029/2005JD006097								WOS:000240420600001						
J	Christopher, SA; Zhang, JL; Kaufman, YJ; Remer, LA				Christopher, Sundar A.; Zhang, Jianglong; Kaufman, Yoram J.; Remer, Lorraine A.			Satellite-based assessment of top of atmosphere anthropogenic aerosol radiative forcing over cloud-free oceans	GEOPHYSICAL RESEARCH LETTERS																Christopher, Sundar/E-6781-2011													0094-8276	1944-8007				AUG 10	2006	33	15							L15816	10.1029/2005GL025535								WOS:000239786100001						
J	Rao, XH; Smitha, A; Ali, MM				Rao, K. H.; Smitha, A.; Ali, M. M.			A study on cyclone induced productivity in south-western Bay of Bengal during November-December 2000 using MODIS (SST and chlorophyll-a) and altimeter sea surface height observations	INDIAN JOURNAL OF MARINE SCIENCES																	, Ali/0000-0002-3821-6099												0379-5136					JUN	2006	35	2					153	160										WOS:000239496600011						
J	Pinkerton, MH; Moore, GF; Lavender, SJ; Gall, MP; Oubelkheir, K; Richardson, KM; Boyd, PW; Aiken, J				Pinkerton, Matthew H.; Moore, Gerald F.; Lavender, Samantha J.; Gall, Mark P.; Oubelkheir, Kadija; Richardson, Kenneth M.; Boyd, Philip W.; Aiken, James			A method for estimating inherent optical properties of New Zealand continental shelf waters from satellite ocean colour measurements	NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH																oubelkheir, kadija/H-3843-2011; Boyd, Philip/J-7624-2014	Boyd, Philip/0000-0001-7850-1911; Lavender, Samantha/0000-0002-5181-9425; Moore, Gerald/0000-0001-6170-6646												0028-8330					JUN	2006	40	2					227	247		10.1080/00288330.2006.9517417								WOS:000239326700002						
J	Wood, R; Hartmann, DL				Wood, R; Hartmann, DL			Spatial variability of liquid water path in marine low cloud: The importance of mesoscale cellular convection	JOURNAL OF CLIMATE																Wood, Robert/A-2989-2008	Wood, Robert/0000-0002-1401-3828												0894-8755					MAY 1	2006	19	9					1748	1764		10.1175/JCLI3702.1								WOS:000237628300010						
