PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Spencer, T; Teleki, KA; Bradshaw, C; Spalding, MD				Spencer, T; Teleki, KA; Bradshaw, C; Spalding, MD			Coral bleaching in the southern Seychelles during the 1997-1998 Indian Ocean warm event	MARINE POLLUTION BULLETIN																kohki, sowa/D-2955-2011; Bradshaw, Clare/I-1833-2013	Bradshaw, Clare/0000-0002-8421-2750												0025-326X	1879-3363				JUL	2000	40	7					569	586		10.1016/S0025-326X(00)00026-6								WOS:000088616800011						
J	McManus, JW; Menez, LAB; Kesner-Reyes, KN; Vergara, SG; Ablan, MC				McManus, JW; Menez, LAB; Kesner-Reyes, KN; Vergara, SG; Ablan, MC			Coral reef fishing and coral-algal phase shifts: implications for global reef status	ICES JOURNAL OF MARINE SCIENCE					ICES/SCOR Symposium on Ecosystem Effects of Fishing	MAR 15-19, 1999	INST RECH DEV, MONTPELLIER, FRANCE	ICES, SCOR	INST RECH DEV																				1054-3139					JUN	2000	57	3					572	578		10.1006/jmsc.2000.0720								WOS:000088880200013						
J	Coops, N; Culvenor, D				Coops, N; Culvenor, D			Utilizing local variance of simulated high spatial resolution imagery to predict spatial pattern of forest stands	REMOTE SENSING OF ENVIRONMENT																Culvenor, Darius/B-1326-2012; Coops, Nicholas/J-1543-2012	Coops, Nicholas/0000-0002-0151-9037												0034-4257	1879-0704				MAR	2000	71	3					248	260		10.1016/S0034-4257(99)00068-1								WOS:000085501400002						
J	Holden, H; Ledrew, E				Holden, H; Ledrew, E			Hyperspectral identification of coral reef features	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					SEP 10	1999	20	13					2545	2563		10.1080/014311699211921								WOS:000082243800006						
J	Johnson, AKL; Ebert, SP; Murray, AE				Johnson, AKL; Ebert, SP; Murray, AE			Distribution of coastal freshwater wetlands and riparian forests in the Herbert River catchment and implications for management of catchments adjacent the Great Barrier Reef Marine Park	ENVIRONMENTAL CONSERVATION																													0376-8929					SEP	1999	26	3					229	235		10.1017/S0376892999000314								WOS:000083565600011						
J	Myers, MR; Hardy, JT; Mazel, CH; Dustan, P				Myers, MR; Hardy, JT; Mazel, CH; Dustan, P			Optical spectra and pigmentation of Caribbean reef corals and macroalgae	CORAL REEFS																													0722-4028					JUL	1999	18	2					179	186		10.1007/s003380050177								WOS:000081850000015						
J	Mumby, PJ; Harborne, AR				Mumby, PJ; Harborne, AR			Development of a systematic classification scheme of marine habitats to facilitate regional management and mapping of Caribbean coral reefs	BIOLOGICAL CONSERVATION																Mumby, Peter/F-9914-2010; Ross, Donald/F-7607-2012; Harborne, Alastair/F-6155-2013	Ross, Donald/0000-0002-8659-3833; Harborne, Alastair/0000-0002-6818-8615												0006-3207					MAY	1999	88	2					155	163		10.1016/S0006-3207(98)00108-6								WOS:000078342900002						
J	Mumby, PJ; Green, EP; Edwards, AJ; Clark, CD				Mumby, PJ; Green, EP; Edwards, AJ; Clark, CD			The cost-effectiveness of remote sensing for tropical coastal resources assessment and management	JOURNAL OF ENVIRONMENTAL MANAGEMENT																Clark, Chris/C-3830-2009; Edwards, Alasdair/C-9558-2009; Mumby, Peter/F-9914-2010	Clark, Chris/0000-0002-1021-6679; Edwards, Alasdair/0000-0002-2979-7389; 												0301-4797	1095-8630				MAR	1999	55	3					157	166		10.1006/jema.1998.0255								WOS:000079760800002						
J	Mumby, PJ				Mumby, PJ			Can Caribbean coral populations be modelled at metapopulation scales?	MARINE ECOLOGY PROGRESS SERIES																Mumby, Peter/F-9914-2010													0171-8630						1999	180						275	288		10.3354/meps180275								WOS:000080666100025						
J	Chauvaud, S; Bouchon, C; Maniere, R				Chauvaud, S; Bouchon, C; Maniere, R			Remote sensing techniques adapted to high resolution mapping of tropical coastal marine ecosystems (coral reefs, seagrass beds and mangrove)	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					DEC	1998	19	18					3625	3639		10.1080/014311698213858								WOS:000077774800010						
J	McGrath, TA; Smith, GW				McGrath, TA; Smith, GW			The effects of the 1995/1996 Western Atlantic coral bleaching event on the patch reefs around San Salvador Island, Bahamas	REVISTA DE BIOLOGIA TROPICAL																													0034-7744					DEC	1998	46			5			91	99										WOS:000078824000010						
J	Holden, H; LeDrew, E				Holden, H; LeDrew, E			Spectral discrimination of healthy and non-healthy corals based on cluster analysis, principal components analysis, and derivative spectroscopy	REMOTE SENSING OF ENVIRONMENT																													0034-4257					AUG	1998	65	2					217	224		10.1016/S0034-4257(98)00029-7								WOS:000074765100009						
J	Holden, H; LeDrew, E				Holden, H; LeDrew, E			The scientific issues surrounding remote detection of submerged coral ecosystems	PROGRESS IN PHYSICAL GEOGRAPHY																													0309-1333					JUN	1998	22	2					190	221		10.1191/030913398668695699								WOS:000074866600003						
J	Mumby, PJ; Green, EP; Clark, CD; Edwards, AJ				Mumby, PJ; Green, EP; Clark, CD; Edwards, AJ			Digital analysis of multispectral airborne imagery of coral reefs	CORAL REEFS																Edwards, Alasdair/C-9558-2009; Clark, Chris/C-3830-2009; Mumby, Peter/F-9914-2010	Edwards, Alasdair/0000-0002-2979-7389; Clark, Chris/0000-0002-1021-6679; 												0722-4028					APR	1998	17	1					59	69		10.1007/s003380050096								WOS:000073412000012						
J	Abdel-Kader, AF; Nasr, SM; El-Gamily, HI; El-Raey, M				Abdel-Kader, AF; Nasr, SM; El-Gamily, HI; El-Raey, M			Environmental sensitivity analysis of potential oil spill for Ras-Mohammed coastal zone, Egypt	JOURNAL OF COASTAL RESEARCH																													0749-0208					SPR	1998	14	2					502	511										WOS:000073189300012						
J	Walter, DJ; Lambert, DN; Young, DC; Stephens, KP				Walter, DJ; Lambert, DN; Young, DC; Stephens, KP			Mapping sediment acoustic impedance using remote sensing acoustic techniques in a shallow-water carbonate environment	GEO-MARINE LETTERS																													0276-0460					DEC	1997	17	4					260	267		10.1007/s003670050036								WOS:000071287800005						
J	Mumby, PJ; Green, EP; Edwards, AJ; Clark, CD				Mumby, PJ; Green, EP; Edwards, AJ; Clark, CD			Coral reef habitat-mapping: how much detail can remote sensing provide?	MARINE BIOLOGY																Clark, Chris/C-3830-2009; Edwards, Alasdair/C-9558-2009; Mumby, Peter/F-9914-2010	Clark, Chris/0000-0002-1021-6679; Edwards, Alasdair/0000-0002-2979-7389; 												0025-3162					DEC	1997	130	2					193	202		10.1007/s002270050238								WOS:000071438600007						
J	Mazel, CH				Mazel, CH			Diver-operated instrument for in situ measurement of spectral fluorescence and reflectance of benthic marine organisms and substrates	OPTICAL ENGINEERING																													0091-3286					SEP	1997	36	9					2612	2617		10.1117/1.601486								WOS:A1997XV84600034						
J	Knight, D; LeDrew, E; Holden, H				Knight, D; LeDrew, E; Holden, H			Mapping submerged corals in Fiji from remote sensing and in situ measurements: Applications for integrated coastal management	OCEAN & COASTAL MANAGEMENT																													0964-5691						1997	34	2					153	&		10.1016/S0964-5691(97)00001-X								WOS:A1997XK03400003						
J	Wellington, GM; Dunbar, RB; Merlen, G				Wellington, GM; Dunbar, RB; Merlen, G			Calibration of stable oxygen isotope signatures in Galapagos corals	PALEOCEANOGRAPHY																													0883-8305	1944-9186				AUG	1996	11	4					467	480		10.1029/96PA01023								WOS:A1996VM33000008						
J	ElRaey, M; AbdelKader, AF; Nasr, SM; ElGamily, HI				ElRaey, M; AbdelKader, AF; Nasr, SM; ElGamily, HI			Remote sensing and GIS for an oil spill contingency plan, Ras-Mohammed, Egypt	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					JUL 20	1996	17	11					2013	2026		10.1080/01431169608948756								WOS:A1996UW88500004						
J	Nayak, S; Chauhan, P; Chauhan, HB; Bahuguna, A; Nath, AN				Nayak, S; Chauhan, P; Chauhan, HB; Bahuguna, A; Nath, AN			IRS-1C applications for coastal zone management	CURRENT SCIENCE																													0011-3891					APR 10	1996	70	7					614	618										WOS:A1996UG64500027						
J	Huff, B				Huff, B			Coral reefs reveal ocean health via remote sensing	PHOTONICS SPECTRA																													0731-1230					MAR	1996	30	3					116	116										WOS:A1996TZ19000048						
J	Maritorena, S				Maritorena, S			Remote sensing of the water attenuation in coral reefs: A case study in French Polynesia	INTERNATIONAL JOURNAL OF REMOTE SENSING																	Maritorena, Stephane/0000-0002-5508-8391												0143-1161					JAN 10	1996	17	1					155	166		10.1080/01431169608948992								WOS:A1996TT83300010						
J	Green, EP; Mumby, PJ; Edwards, AJ; Clark, CD				Green, EP; Mumby, PJ; Edwards, AJ; Clark, CD			A review of remote sensing for the assessment and management of tropical coastal resources	COASTAL MANAGEMENT																Mumby, Peter/F-9914-2010; Clark, Chris/C-3830-2009; Edwards, Alasdair/C-9558-2009	Clark, Chris/0000-0002-1021-6679; Edwards, Alasdair/0000-0002-2979-7389												0892-0753					JAN-MAR	1996	24	1					1	40		10.1080/08920759609362279								WOS:A1996UD89800001						
J	MILLER, RL; CRUISE, JF				MILLER, RL; CRUISE, JF			EFFECTS OF SUSPENDED SEDIMENTS ON CORAL GROWTH - EVIDENCE FROM REMOTE-SENSING AND HYDROLOGIC MODELING	REMOTE SENSING OF ENVIRONMENT																kohki, sowa/D-2955-2011													0034-4257					SEP	1995	53	3					177	187		10.1016/0034-4257(95)00081-B								WOS:A1995RV89600006						
J	MUMBY, PJ; RAINES, PS; GRAY, DA; GIBSON, JP				MUMBY, PJ; RAINES, PS; GRAY, DA; GIBSON, JP			GEOGRAPHIC INFORMATION-SYSTEMS - A TOOL FOR INTEGRATED COASTAL ZONE MANAGEMENT IN BELIZE	COASTAL MANAGEMENT																Mumby, Peter/F-9914-2010													0892-0753					APR-JUN	1995	23	2					111	121		10.1080/08920759509362260								WOS:A1995RD94900002						
J	MAZEL, CH				MAZEL, CH			SPECTRAL MEASUREMENTS OF FLUORESCENCE EMISSION IN CARIBBEAN CNIDARIANS	MARINE ECOLOGY PROGRESS SERIES																													0171-8630					APR	1995	120	1-3					185	191		10.3354/meps120185								WOS:A1995QY53700018						
J	SIMPSON, JJ; BLOOM, J; BOTTA, M				SIMPSON, JJ; BLOOM, J; BOTTA, M			THE CTD OCEANOGRAPHIC RENDERING AND ANALYSIS LABORATORY (CORAL)	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY																													0739-0572					DEC	1994	11	6					1638	1655		10.1175/1520-0426(1994)011<1638:TCORAA>2.0.CO;2								WOS:A1994QA65800014						
J	MARITORENA, S; MOREL, A; GENTILI, B				MARITORENA, S; MOREL, A; GENTILI, B			DIFFUSE-REFLECTANCE OF OCEANIC SHALLOW WATERS - INFLUENCE OF WATER DEPTH AND BOTTOM ALBEDO	LIMNOLOGY AND OCEANOGRAPHY																	Maritorena, Stephane/0000-0002-5508-8391												0024-3590					NOV	1994	39	7					1689	1703		10.4319/lo.1994.39.7.1689								WOS:A1994PZ96700017						
J	STOFFLE, RW; HALMO, DB; WAGNER, TW; LUCZKOVICH, JJ				STOFFLE, RW; HALMO, DB; WAGNER, TW; LUCZKOVICH, JJ			REEFS FROM SPACE - SATELLITE IMAGERY, MARINE ECOLOGY, AND ETHNOGRAPHY IN THE DOMINICAN-REPUBLIC	HUMAN ECOLOGY																													0300-7839					SEP	1994	22	3					355	378		10.1007/BF02168857								WOS:A1994PZ90400006						
J	ARVIDSON, R; BECKER, R; SHANABROOK, A; LUO, W; STURCHIO, N; SULTAN, M; LOTFY, Z; MAHMOOD, AM; ELALFY, Z				ARVIDSON, R; BECKER, R; SHANABROOK, A; LUO, W; STURCHIO, N; SULTAN, M; LOTFY, Z; MAHMOOD, AM; ELALFY, Z			CLIMATIC, EUSTATIC, AND TECTONIC CONTROLS ON QUATERNARY DEPOSITS AND LANDFORMS, RED-SEA COAST, EGYPT	JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH																Becker, Richard/A-9120-2010	Becker, Richard/0000-0003-2514-2040												2169-9313	2169-9356				JUN 10	1994	99	B6					12175	12190		10.1029/94JB00037								WOS:A1994NT16800042						
J	GOUDIE, A				GOUDIE, A			HUMAN INFLUENCE IN GEOMORPHOLOGY	GEOMORPHOLOGY					24TH BINGHAMTON SYMP / 3RD MEETING OF THE INTERNATIONAL ASSOC OF GEOMORPHOLOGISTS - GEOMORPHOLOGY : THE RESEARCH FRONTIER AND BEYOND	AUG 23-28, 1993	MCMASTER UNIV, HAMILTON, CANADA	INT ASSOC GEOMORPHOLOGISTS	MCMASTER UNIV								Goudie, Andrew/0000-0002-5496-8207												0169-555X					JUL	1993	7	1-3					37	59		10.1016/0169-555X(93)90011-P								WOS:A1993LR62500004						
J	COURBOULES, J; MANIERE, R				COURBOULES, J; MANIERE, R			REMOTE-SENSING IN STUDY ON RELATION BETWEEN SURFACE HYDRODYNAMISM AND CORAL REEFS	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					OCT	1992	13	15					2911	2923		10.1080/01431169208904090								WOS:A1992JT89800013						
J	KUCHLER, DA				KUCHLER, DA			REMOTE-SENSING - WHAT CAN IT OFFER CORAL-REEF STUDIES	OCEANUS																													0029-8182					SUM	1986	29	2					90	93										WOS:A1986D121600026						
