PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Alpers, W; Wong, WK; Dagestad, KF; Chan, PW				Alpers, Werner; Wong, Wai Kin; Dagestad, Knut-Frode; Chan, Pak Wai			A northerly winter monsoon surge over the South China Sea studied by remote sensing and a numerical model	INTERNATIONAL JOURNAL OF REMOTE SENSING					10th Biennial Pan Ocean Remote Sensing Conference (PORSEC)	OCT, 2010	Keelung, TAIWAN	Natl Taiwan Ocean Univ, Taiwan Ocean Res Inst, Taiwan Natl Sci Council, Fisheries (FA), Environm Protect Agcy Taiwan (EPA), Int Space Sci & Res Agencies								chen, zhu/K-5923-2013; Chan, Pak Wai/C-8447-2011	Chan, Pak Wai/0000-0003-2289-0609												0143-1161						2012	33	23			SI		7361	7381		10.1080/01431161.2012.685983								WOS:000306286200004						
J	Pan, G; Tang, DL; Zhang, YZ				Pan, Gang; Tang, Danling; Zhang, Yuanzhi			Satellite monitoring of phytoplankton in the East Mediterranean Sea after the 2006 Lebanon oil spill	INTERNATIONAL JOURNAL OF REMOTE SENSING					10th Biennial Pan Ocean Remote Sensing Conference (PORSEC)	OCT, 2010	Keelung, TAIWAN	Natl Taiwan Ocean Univ, Taiwan Ocean Res Inst, Taiwan Natl Sci Council, Fisheries (FA), Environm Protect Agcy Taiwan (EPA), Int Space Sci & Res Agencies								chen, zhu/K-5923-2013	Pan, Gang/0000-0003-0054-6516												0143-1161						2012	33	23			SI		7482	7490		10.1080/01431161.2012.685982								WOS:000306286200012						
J	Romer, H; Willroth, P; Kaiser, G; Vafeidis, AT; Ludwig, R; Sterr, H; Diez, JR				Roemer, H.; Willroth, P.; Kaiser, G.; Vafeidis, A. T.; Ludwig, R.; Sterr, H.; Diez, J. Revilla			Potential of remote sensing techniques for tsunami hazard and vulnerability analysis - a case study from Phang-Nga province, Thailand	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES																	Vafeidis, Athanasios/0000-0002-3906-5544												1561-8633						2012	12	6					2103	2126		10.5194/nhess-12-2103-2012								WOS:000305829600023						
J	Colditz, RR; Acosta-Velazquez, J; Gallegos, JRD; Lule, ADV; Rodriguez-Zuniga, MT; Maeda, P; Lopez, MIC; Ressl, R				Colditz, Rene R.; Acosta-Velazquez, Joanna; Diaz Gallegos, Jose Reyes; Vazquez Lule, Alma Delia; Teresa Rodriguez-Zuniga, Maria; Maeda, Pedro; Cruz Lopez, Maria Isabel; Ressl, Rainer			Potential effects in multi-resolution post-classification change detection	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161						2012	33	20					6426	6445		10.1080/01431161.2012.688148								WOS:000304593100008						
J	Ahmad, SR; Lakhan, VC				Ahmad, Sajid Rashid; Lakhan, V. Chris			GIS-Based Analysis and Modeling of Coastline Advance and Retreat Along the Coast of Guyana	MARINE GEODESY																	ahmad, sajid/0000-0003-0122-472X												0149-0419	1521-060X					2012	35	1					1	15		10.1080/01490419.2011.637851								WOS:000304472400001						
J	Sarangi, RK				Sarangi, R. K.			Observation of Algal Bloom in the Northwest Arabian Sea Using Multisensor Remote Sensing Satellite Data	MARINE GEODESY																													0149-0419						2012	35	2					158	174		10.1080/01490419.2011.637848								WOS:000304471500003						
J	Krug, LA; Gherardi, DFM; Stech, JL; Leao, ZMDN; De Kikuchi, RKP				Krug, Lilian Anne; Marcolino Gherardi, Douglas Francisco; Stech, Jose Luiz; De Andrade Nery Leao, Zelinda Margarida; Papa De Kikuchi, Ruy Kenji			Characterization of coral bleaching environments and their variation along the Bahia state coast, Brazil	INTERNATIONAL JOURNAL OF REMOTE SENSING																Leao, Zelinda/I-5729-2013; Kikuchi, Ruy/I-4884-2013; Gherardi, Douglas/I-1079-2015	Kikuchi, Ruy/0000-0002-6271-7491; Krug, Lilian/0000-0002-0066-7679												0143-1161						2012	33	13					4059	4074		10.1080/01431161.2011.639505								WOS:000302168500005						
J	Soussa, H; El Feel, AA; Alfy, SZ; Yousif, MSM				Soussa, Hoda; El Feel, A. A.; Alfy, S. Z.; Yousif, M. S. M.			Flood hazard in Wadi Rahbaa area, Egypt	ARABIAN JOURNAL OF GEOSCIENCES																	, Hoda/0000-0003-2866-5357												1866-7511					JAN	2012	5	1					45	52		10.1007/s12517-010-0144-z								WOS:000299294800004						
J	Klemas, V				Klemas, Victor			Remote Sensing of Coastal Plumes and Ocean Fronts: Overview and Case Study	JOURNAL OF COASTAL RESEARCH																													0749-0208	1551-5036				JAN	2012	28	1A		S			1	7		10.2112/JCOASTRES-D-11-00025.1								WOS:000299147900001						
J	Bowers, DG; Md-Suffian, I; Mitchelson-Jacob, EG				Bowers, D. G.; Md-Suffian, I.; Mitchelson-Jacob, E. G.			Bio-optical properties of east coast Malaysia waters in relation to remote sensing of chlorophyll	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161	1366-5901					2012	33	1					150	169		10.1080/01431161.2011.584917								WOS:000298946600009						
J	Dandapath, S; Chakraborty, B; Maslov, N; Karisiddaiah, SM; Ghosh, D; Fernandes, W; Menezes, A				Dandapath, Sumanta; Chakraborty, Bishwajit; Maslov, Nicolas; Karisiddaiah, Siddaiah M.; Ghosh, Dhrupad; Fernandes, William; Menezes, Andrew			Characterization of seafloor pockmark seepage of hydrocarbons employing fractal: A case study from the western continental margin of India	MARINE AND PETROLEUM GEOLOGY																	Dandapath, Sumanta/0000-0002-2053-0346												0264-8172					JAN	2012	29	1					115	128		10.1016/j.marpetgeo.2011.09.008								WOS:000298206000008						
J	Murthy, MVR; Reddy, NT; Pari, Y; Usha, T; Mishra, P				Murthy, M. V. Ramana; Reddy, N. T.; Pari, Y.; Usha, Tune; Mishra, P.			Mapping of seawater inundation along Nagapattinam based on field observations	NATURAL HAZARDS																													0921-030X					JAN	2012	60	1					161	179		10.1007/s11069-011-9950-1								WOS:000297812600011						
J	Al Fugura, A; Billa, L; Pradhan, B				Al Fugura, A'kif; Billa, Lawal; Pradhan, Biswajeet			Semi-automated procedures for shoreline extraction using single RADARSAT-1 SAR image	ESTUARINE COASTAL AND SHELF SCIENCE																Pradhan, Biswajeet/E-8226-2010; Billa, Lawal/M-9523-2015; Hashim, Mazlan/J-7291-2012; Pradhan, Biswajeet/K-1859-2017	Pradhan, Biswajeet/0000-0001-9863-2054; Billa, Lawal/0000-0002-6894-5145; Hashim, Mazlan/0000-0001-8284-3332; 												0272-7714					DEC 20	2011	95	4					395	400		10.1016/j.ecss.2011.10.009								WOS:000298528500006						
J	Pan, XJ; Mannino, A; Marshall, HG; Filippino, KC; Mulholland, MR				Pan, Xiaoju; Mannino, Antonio; Marshall, Harold G.; Filippino, Katherine C.; Mulholland, Margaret R.			Remote sensing of phytoplankton community composition along the northeast coast of the United States	REMOTE SENSING OF ENVIRONMENT																Mannino, Antonio/I-3633-2014; Mulholland, Margaret/E-8480-2011	Mulholland, Margaret/0000-0001-8819-189X												0034-4257	1879-0704				DEC 15	2011	115	12					3731	3747		10.1016/j.rse.2011.09.011								WOS:000298311300064						
J	Nfotabong-Atheull, A; Din, N; Koum, LGE; Satyanarayana, B; Koedam, N; Dahdouh-Guebas, F				Nfotabong-Atheull, Adolphe; Din, Ndongo; Koum, Leopold G. Essome; Satyanarayana, Behara; Koedam, Nico; Dahdouh-Guebas, Farid			Assessing forest products usage and local residents' perception of environmental changes in peri-urban and rural mangroves of Cameroon, Central Africa	JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE																													1746-4269					DEC 6	2011	7								41	10.1186/1746-4269-7-41								WOS:000299276300001	22146073					
J	Sarangi, RK; Thangaradjou, T; Kumar, AS; Balasubramanian, T				Sarangi, Ranjit Kumar; Thangaradjou, T.; Kumar, A. Saravana; Balasubramanian, T.			Development of Nitrate Algorithm for the Southwest Bay of Bengal Water and Its Implication Using Remote Sensing Satellite Datasets	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																													1939-1404					DEC	2011	4	4					983	991		10.1109/JSTARS.2011.2165204								WOS:000298054500030						
J	Deshpande, SP; Radhakrishnan, KV; Bhat, UG				Deshpande, Sanjeev P.; Radhakrishnan, K. V.; Bhat, U. Gopalakrishna			Direct and Indirect Validation of Potential Fishing Zone Advisory off the Coast of Uttara Kannada, Karnataka	JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING																													0255-660X					DEC	2011	39	4					547	554		10.1007/s12524-011-0104-4								WOS:000297857300012						
J	Pleskachevsky, A; Lehner, S; Heege, T; Mott, C				Pleskachevsky, Andrey; Lehner, Susanne; Heege, Thomas; Mott, Claudius			Synergy and fusion of optical and synthetic aperture radar satellite data for underwater topography estimation in coastal areas	OCEAN DYNAMICS																													1616-7341					DEC	2011	61	12					2099	2120		10.1007/s10236-011-0460-1								WOS:000297622600007						
J	Splinter, KD; Strauss, DR; Tomlinson, RB				Splinter, Kristen D.; Strauss, Darrell R.; Tomlinson, Rodger B.			Assessment of Post-Storm Recovery of Beaches Using Video Imaging Techniques: A Case Study at Gold Coast, Australia	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					30th IEEE International Geoscience and Remote Sensing Symposium (IGARSS) on Remote Sensing - Global Vision for Local Action	JUN 25-30, 2010	Honolulu, HI	IEEE								Strauss, Darrell/D-6489-2013	Strauss, Darrell/0000-0002-3411-0991; Splinter, Kristen/0000-0002-0082-8444												0196-2892	1558-0644				DEC	2011	49	12	1		SI		4704	4716		10.1109/TGRS.2011.2136351								WOS:000297281500003						
J	Sletten, MA; Hwang, PA				Sletten, Mark A.; Hwang, Paul A.			The Effect of Wind-Wave Growth on SAR-Based Waterline Maps	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					DEC	2011	49	12	2				5140	5149		10.1109/TGRS.2011.2154362								WOS:000297282300016						
J	Miller, DJ; Sun, K; Zondlo, MA; Kanter, D; Dubovik, O; Welton, EJ; Winker, DM; Ginoux, P				Miller, David J.; Sun, Kang; Zondlo, Mark A.; Kanter, David; Dubovik, Oleg; Welton, Ellsworth Judd; Winker, David M.; Ginoux, Paul			Assessing boreal forest fire smoke aerosol impacts on U.S. air quality: A case study using multiple data sets	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Dubovik, Oleg/A-8235-2009; Xiongfei, Zhao/G-7690-2015; Welton, Ellsworth/A-8362-2012; Ginoux, Paul/C-2326-2008; Zondlo, Mark/R-6173-2016	Dubovik, Oleg/0000-0003-3482-6460; Ginoux, Paul/0000-0003-3642-2988; Zondlo, Mark/0000-0003-2302-9554												2169-897X	2169-8996				NOV 22	2011	116								D22209	10.1029/2011JD016170								WOS:000297421100003						
J	Kanniah, KD; Beringer, J; Hutley, LB				Kanniah, Kasturi Devi; Beringer, Jason; Hutley, Lindsay B.			Environmental controls on the spatial variability of savanna productivity in the Northern Territory, Australia	AGRICULTURAL AND FOREST METEOROLOGY																Beringer, Jason/B-8528-2008; Kanniah, Kasturi/K-6777-2012; Hutley, Lindsay/A-7925-2011	Beringer, Jason/0000-0002-4619-8361; Kanniah, Kasturi/0000-0001-6736-4819; Hutley, Lindsay/0000-0001-5533-9886												0168-1923	1873-2240				NOV 15	2011	151	11			SI		1429	1439		10.1016/j.agrformet.2011.06.009								WOS:000295305700003						
J	Costa, AN; Polivanov, H; Alves, MG; Ramos, DP				Costa, A. N.; Polivanov, H.; Alves, M. G.; Ramos, D. P.			Multicriterial analysis in the investigation of favorable areas for edifications with shallow and deep foundations in the Municipality of Campos dos Goytacazes - Rio de Janeiro, Brazil	ENGINEERING GEOLOGY																Polivanov, Helena/H-6474-2014													0013-7952					NOV 13	2011	123	3					149	165		10.1016/j.enggeo.2011.05.011								WOS:000297182200001						
J	Millaire, JF; Eastaugh, E				Millaire, Jean-Francois; Eastaugh, Edward			Ancient urban morphology in the Viru Valley, Peru: Remote sensing work at the Gallinazo Group (100 B.C.-A.D. 700)	JOURNAL OF FIELD ARCHAEOLOGY																													0093-4690					NOV	2011	36	4					289	297		10.1179/009346911X13200731373908								WOS:000298144100003						
