PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Souza, PWM; Paradella, WR; Rodrigues, SWP; Costa, FR; Mura, JC; Goncalves, FD				Souza-Filho, Pedro Walfir M.; Paradella, Waldir R.; Rodrigues, Suzan W. P.; Costa, Francisco R.; Mura, Jose C.; Goncalves, Fabricio D.			Discrimination of coastal wetland environments in the Amazon region based on multi-polarized L-band airborne Synthetic Aperture Radar imagery	ESTUARINE COASTAL AND SHELF SCIENCE																Souza-Filho, Pedro Walfir/J-4958-2012	Souza-Filho, Pedro Walfir/0000-0003-0252-808X												0272-7714					NOV 1	2011	95	1					88	98		10.1016/j.ecss.2011.08.011								WOS:000298266000009						
J	Veneranta, L; Urho, L; Lappalainen, A; Kallasvuo, M				Veneranta, L.; Urho, L.; Lappalainen, A.; Kallasvuo, M.			Turbidity characterizes the reproduction areas of pikeperch (Sander lucioperca (L.)) in the northern Baltic Sea	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714					NOV 1	2011	95	1					199	206		10.1016/j.ecss.2011.08.032								WOS:000298266000019						
J	Crowell, N; Webster, T; O'Driscoll, NJ				Crowell, Nathan; Webster, Timothy; O'Driscoll, Nelson J.			GIS Modelling of Intertidal Wetland Exposure Characteristics	JOURNAL OF COASTAL RESEARCH																	O'Driscoll, Nelson/0000-0002-8598-8251												0749-0208					NOV	2011	27	6A		S			44	51		10.2112/JCOASTRES-D-10-00187.1								WOS:000297278500004						
J	Giri, C; Long, J; Tieszen, L				Giri, Chandra; Long, Jordan; Tieszen, Larry			Mapping and Monitoring Louisiana's Mangroves in the Aftermath of the 2010 Gulf of Mexico Oil Spill	JOURNAL OF COASTAL RESEARCH																													0749-0208					NOV	2011	27	6					1059	1064		10.2112/JCOASTRES-D-11-00028.1								WOS:000297278300005						
J	Pattanaik, C; Prasad, SN				Pattanaik, Chiranjibi; Prasad, S. Narendra			Assessment of aquaculture impact on mangroves of Mahanadi delta (Orissa), East coast of India using remote sensing and GIS	OCEAN & COASTAL MANAGEMENT																													0964-5691					NOV	2011	54	11					789	795		10.1016/j.ocecoaman.2011.07.013								WOS:000297402400001						
J	Stevens, K; Campbell, L; Urquhart, G; Kramer, D; Qi, JG				Stevens, Kara; Campbell, Lindsay; Urquhart, Gerald; Kramer, Dan; Qi, Jiaguo			Examining complexities of forest cover change during armed conflict on Nicaragua's Atlantic Coast	BIODIVERSITY AND CONSERVATION																													0960-3115					NOV	2011	20	12					2597	2613		10.1007/s10531-011-0093-1								WOS:000297200000004						
J	Craig, N; Aldenderfer, MS; Rigsby, CA; Baker, PA; Blanco, LF				Craig, Nathan; Aldenderfer, Mark S.; Rigsby, Catherine A.; Baker, Paul A.; Flores Blanco, Luis			Geologic constraints on rain-fed Qocha reservoir agricultural infrastructure, northern lake Titicaca Basin, Peru	JOURNAL OF ARCHAEOLOGICAL SCIENCE																													0305-4403					NOV	2011	38	11					2897	2907		10.1016/j.jas.2011.05.005								WOS:000295552600004						
J	Bernard, E; Friedt, JM; Martin, G; Griselin, M; Marlin, C				Bernard, Eric; Friedt, Jean-Michel; Martin, Gilles; Griselin, Madeleine; Marlin, Christelle			High resolution ground-based digital photography for quantitative slope dynamics analysis: application to an arctic glacier basin (AustreLoven glacier - Spitsbergen 79 degrees N)	HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU																													0018-6368					OCT	2011		5					20	28		10.1051/lhb/2011048								WOS:000298068400004						
J	Gurgel, KW; Dzvonkovskaya, A; Pohlmann, T; Schlick, T; Gill, E				Gurgel, Klaus-Werner; Dzvonkovskaya, Anna; Pohlmann, Thomas; Schlick, Thomas; Gill, Eric			Simulation and detection of tsunami signatures in ocean surface currents measured by HF radar	OCEAN DYNAMICS																													1616-7341					OCT	2011	61	10					1495	1507		10.1007/s10236-011-0420-9								WOS:000295681200005						
J	Vousdoukas, MI; Ferreira, PM; Almeida, LP; Dodet, G; Psaros, F; Andriolo, U; Taborda, R; Silva, AN; Ruano, A; Ferreira, OM				Vousdoukas, Michalis Ioannis; Ferreira, Pedro Manuel; Almeida, Luis Pedro; Dodet, Guillaume; Psaros, Fotis; Andriolo, Umberto; Taborda, Rui; Silva, Ana Nobre; Ruano, Antonio; Ferreira, Oscar Manuel			Performance of intertidal topography video monitoring of a meso-tidal reflective beach in South Portugal	OCEAN DYNAMICS																Ferreira, Pedro/B-3010-2009; Estuarios, NEC/D-5086-2009; Taborda, Rui/E-4676-2010; Silva, Ana/B-7813-2013; Vousdoukas, Michalis/C-6743-2012; Ruano, Antonio/B-4135-2008	Ferreira, Pedro/0000-0003-2369-0115; Taborda, Rui/0000-0001-9620-1998; Silva, Ana/0000-0002-7526-1841; Vousdoukas, Michalis/0000-0003-2655-6181; Ruano, Antonio/0000-0002-6308-8666; Ferreira, Oscar/0000-0001-9975-0036; Almeida, Luis Pedro/0000-0001-7805-9086												1616-7341					OCT	2011	61	10					1521	1540		10.1007/s10236-011-0440-5								WOS:000295681200007						
J	Mendez, M; Subramaniam, A; Collins, T; Minton, G; Baldwin, R; Berggren, P; Sarnblad, A; Amir, OA; Peddemors, VM; Karczmarski, L; Guissamulo, A; Rosenbaum, HC				Mendez, M.; Subramaniam, A.; Collins, T.; Minton, G.; Baldwin, R.; Berggren, P.; Sarnblad, A.; Amir, O. A.; Peddemors, V. M.; Karczmarski, L.; Guissamulo, A.; Rosenbaum, H. C.			Molecular ecology meets remote sensing: environmental drivers to population structure of humpback dolphins in the Western Indian Ocean	HEREDITY																Peddemors, Victor/Q-4281-2016	Subramaniam, Ajit/0000-0003-1316-5827; Collins, Tim/0000-0002-7124-4876												0018-067X					OCT	2011	107	4					349	361		10.1038/hdy.2011.21								WOS:000295159600007	21427750					
J	Wong, MS; Nichol, J; Ng, E				Wong, Man Sing; Nichol, Janet; Ng, Edward			A study of the "wall effect" caused by proliferation of high-rise buildings using GIS techniques	LANDSCAPE AND URBAN PLANNING																Nichol, Janet/A-1442-2014; Wong, Man Sing/A-2718-2014	Nichol, Janet/0000-0003-4015-893X; Wong, Man Sing/0000-0002-6439-6775												0169-2046					SEP 30	2011	102	4					245	253		10.1016/j.landurbplan.2011.05.003								WOS:000295299400006						
J	Bratbak, G; Jacquet, S; Larsen, A; Pettersson, LH; Sazhin, AF; Thyrhaug, R				Bratbak, Gunnar; Jacquet, Stephan; Larsen, Aud; Pettersson, Lasse H.; Sazhin, Andrey F.; Thyrhaug, Runar			The plankton community in Norwegian coastal waters-abundance, composition, spatial distribution and diel variation	CONTINENTAL SHELF RESEARCH																Bratbak, Gunnar/N-8786-2015	Bratbak, Gunnar/0000-0001-8388-4945												0278-4343					SEP 15	2011	31	14					1500	1514		10.1016/j.csr.2011.06.014								WOS:000295438900012						
J	Tilstone, GH; Angel-Benavides, IM; Pradhan, Y; Shutler, JD; Groom, S; Sathyendranath, S				Tilstone, Gavin H.; Angel-Benavides, Ingrid M.; Pradhan, Yaswant; Shutler, Jamie D.; Groom, Steve; Sathyendranath, Shubha			An assessment of chlorophyll-a algorithms available for SeaWiFS in coastal and open areas of the Bay of Bengal and Arabian Sea	REMOTE SENSING OF ENVIRONMENT																Pradhan, Yaswant/G-2040-2010; Groom, Steve/A-1355-2012	Pradhan, Yaswant/0000-0002-3680-4751; Tilstone, Gavin/0000-0002-9347-1682												0034-4257	1879-0704				SEP 15	2011	115	9					2277	2291		10.1016/j.rse.2011.04.028								WOS:000292484400009						
J	Iturbide-Sanchez, F; Boukabara, SA; Chen, RY; Garrett, K; Grassotti, C; Chen, WC; Weng, FZ				Iturbide-Sanchez, Flavio; Boukabara, Sid-Ahmed; Chen, Ruiyue; Garrett, Kevin; Grassotti, Christopher; Chen, Wanchun; Weng, Fuzhong			Assessment of a Variational Inversion System for Rainfall Rate Over Land and Water Surfaces	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					11th Specialist Meeting on Microwave Radiometry and Remote Sensing Applications (MicroRad 2010)	MAR 01-04, 2010	Washington, DC	IEEE Geosci & Remote Soc, Int Radio Sci								chen, ruiyue/F-6708-2010; Iturbide-Sanchez, Flavio/F-9186-2014; Boukabara, Sid Ahmed/F-5577-2010; Garrett, Kevin/L-7582-2016; Weng, Fuzhong/F-5633-2010; Grassotti, Christopher/N-5887-2017	Iturbide-Sanchez, Flavio/0000-0002-8539-0073; Boukabara, Sid Ahmed/0000-0002-1857-3806; Garrett, Kevin/0000-0002-7444-4363; Weng, Fuzhong/0000-0003-0150-2179; Grassotti, Christopher/0000-0001-8784-473X												0196-2892					SEP	2011	49	9			SI		3311	3333		10.1109/TGRS.2011.2119375								WOS:000294536700016						
J	Blythe, JN; da Silva, JCB; Pineda, J				Blythe, Jonathan N.; da Silva, Jose C. B.; Pineda, Jesus			Nearshore, seasonally persistent fronts in sea surface temperature on Red Sea tropical reefs	ICES JOURNAL OF MARINE SCIENCE																da Silva, Jose/B-9212-2008; Scientific output, CIIMAR/E-5122-2012	da Silva, Jose/0000-0002-5453-3916; Scientific output, CIIMAR/0000-0001-6270-2153												1054-3139					SEP	2011	68	9					1827	1832		10.1093/icesjms/fsr109								WOS:000294107800001						
J	Bortels, L; Chan, JCW; Merken, R; Koedam, N				Bortels, Liesbeth; Chan, Jonathan C. -W.; Merken, Ronny; Koedam, Nico			Long-term monitoring of wetlands along the Western-Greek Bird Migration Route using Landsat and ASTER satellite images: Amvrakikos Gulf (Greece)	JOURNAL FOR NATURE CONSERVATION																													1617-1381					SEP	2011	19	4					215	223		10.1016/j.jnc.2011.01.004								WOS:000291470200004						
J	Jamet, C; Loisel, H; Kuchinke, CP; Ruddick, K; Zibordi, G; Feng, H				Jamet, Cedric; Loisel, Hubert; Kuchinke, Christopher P.; Ruddick, Kevin; Zibordi, Giuseppe; Feng, Hui			Comparison of three SeaWiFS atmospheric correction algorithms for turbid waters using AERONET-OC measurements	REMOTE SENSING OF ENVIRONMENT																													0034-4257					AUG 15	2011	115	8					1955	1965		10.1016/j.rse.2011.03.018								WOS:000292235400015						
J	Karsli, F; Guneroglu, A; Dihkan, M				Karsli, Fevzi; Guneroglu, Abdulaziz; Dihkan, Mustafa			Spatio-temporal shoreline changes along the southern Black Sea coastal zone	JOURNAL OF APPLIED REMOTE SENSING																													1931-3195					AUG 12	2011	5								053545	10.1117/1.3624520								WOS:000293883300002						
J	Hurtado, M; Manzano-Sarabia, M; Hernandez-Garibay, E; Pacheco-Ruiz, I; Zertuche-Gonzalez, J				Angel Hurtado, Miguel; Manzano-Sarabia, Marlenne; Hernandez-Garibay, Enrique; Pacheco-Ruiz, Isai; Zertuche-Gonzalez, Jose A.			Latitudinal variations of the yield and quality of agar from Gelidium robustum (Gelidiales, Rhodophyta) from the main commercial harvest beds along the western coast of the Baja California Peninsula, Mexico	JOURNAL OF APPLIED PHYCOLOGY																	Manzano-Sarabia, Marlenne/0000-0002-3466-9592; ZERTUCHE-GONZALEZ, JOSE ANTONIO/0000-0002-9748-9820												0921-8971					AUG	2011	23	4					727	734		10.1007/s10811-010-9572-0								WOS:000293163500011						
J	Yang, D; Yang, Y; Yang, C; Zhao, J; Sun, Z				Yang, D.; Yang, Y.; Yang, C.; Zhao, J.; Sun, Z.			Detection of seagrass in optical shallow water with Quickbird in the Xincun Bay, Hainan province, China	IET IMAGE PROCESSING																													1751-9659					AUG	2011	5	5					363	368		10.1049/iet-ipr.2009.0392								WOS:000292960800003						
J	Lipa, B; Barrick, D; Saitoh, SI; Ishikawa, Y; Awaji, T; Largier, J; Garfield, N				Lipa, Belinda; Barrick, Donald; Saitoh, Sei-Ichi; Ishikawa, Yoichi; Awaji, Toshiyuki; Largier, John; Garfield, Newell			Japan Tsunami Current Flows Observed by HF Radars on Two Continents	REMOTE SENSING																													2072-4292					AUG	2011	3	8					1663	1679		10.3390/rs3081663								WOS:000306751500008						
J	Zhang, Y				Zhang, Yang			Coastal environmental monitoring using remotely sensed data and GIS techniques in the Modern Yellow River delta, China	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369					AUG	2011	179	1-4					15	29		10.1007/s10661-010-1716-9								WOS:000292745000002	20862539					
J	Haensler, A; Cermak, J; Hagemann, S; Jacob, D				Haensler, Andreas; Cermak, Jan; Hagemann, Stefan; Jacob, Daniela			WILL THE SOUTHERN AFRICAN WEST COAST FOG BE AFFECTED BY FUTURE CLIMATE CHANGE?	ERDKUNDE																Cermak, Jan/B-7844-2009	Cermak, Jan/0000-0002-4240-595X												0014-0015					JUL-SEP	2011	65	3					261	275		10.3112/erdkunde.2011.03.04								WOS:000297087800004						
J	Chen, MH; Deng, ZH; Ma, XJ				Chen Mei-Hua; Deng Zhi-Hui; Ma Xiao-Jing			Probable surface latent heat flux anomalies before the 2010 Chile M(s)8.8 earthquake and its relationship to the variations of surface temperature	CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION																													0001-5733					JUL	2011	54	7					1738	1744		10.3969/j.issn.0001-5733.2011.07.006								WOS:000293366800006						
J	Bi, NS; Yang, ZS; Wang, HJ; Fan, DJ; Sun, XX; Lei, K				Bi, Naishuang; Yang, Zuosheng; Wang, Houjie; Fan, Dejiang; Sun, Xiaoxia; Lei, Kun			Seasonal variation of suspended-sediment transport through the southern Bohai Strait	ESTUARINE COASTAL AND SHELF SCIENCE					Workshop on Dynamics of Chinese Muddy Coasts and Estuaries	SEP, 2009	Guilin, PEOPLES R CHINA	State Key Lab Ocean Remote Sensing & Dynam, Second Inst Oceanography, SOA, China, LOICZ, EMECS								Wang, Houjie/B-8334-2013	Wang, Houjie/0000-0001-6409-0592												0272-7714	1096-0015				JUL 1	2011	93	3			SI		239	247		10.1016/j.ecss.2011.03.007								WOS:000292490000009						
J	Menon, HB; Sangekar, NP; Lotliker, AA; Vethamony, P				Menon, Harilal B.; Sangekar, Nutan P.; Lotliker, Aneesh A.; Vethamony, P.			Dynamics of chromophoric dissolved organic matter in Mandovi and Zuari estuaries - A study through in situ and satellite data	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																													0924-2716	1872-8235				JUL	2011	66	4					545	552		10.1016/j.isprsjprs.2011.02.011								WOS:000292429900014						
J	Al Kuwari, NY; Kaiser, MF				Al Kuwari, N. Y.; Kaiser, M. F.			Impact of North Gas Field development on landuse/landcover changes at Al Khore, North Qatar, using remote sensing and GIS	APPLIED GEOGRAPHY																													0143-6228					JUL	2011	31	3					1144	1153		10.1016/j.apgeog.2011.03.001								WOS:000291578000028						
J	Guo, HD; Chen, Y; Feng, Q; Lin, QZ; Wang, F				Guo HuaDong; Chen Yu; Feng Qiang; Lin QiZhong; Wang Fei			Assessment of damage to buildings and farms during the 2011 M 9.0 earthquake and tsunami in Japan from remote sensing data	CHINESE SCIENCE BULLETIN																													1001-6538					JUL	2011	56	20					2138	2144		10.1007/s11434-011-4544-6								WOS:000292271300010						
